Company Name,Job Description,Scope,Wanted,Department
ABC Yazılım,Yazılım Geliştirme Stajı (2024),Backend Developer,"C, C++, Python bilmek. En az 2.80 not ortalamasına sahip olmak. 3. sınıf öğrencisi olmak.",Bilgisayar Mühendisliği
XYZ Veri,Veri Analitiği Stajı (2024),Backend Developer,SQL ve C++ bilgisi olan öğrenciler aranmaktadır. En az 3.00 not ortalamasına sahip olmak. 3. sınıf öğrencisi olmak.,Herhangi
Mobile Solutions,Mobil Uygulama Geliştirme Stajı (2024),Mobile App Developer,Java veya Swift bilen öğrenciler aranmaktadır. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
WebTech,Web Geliştirme Stajı (2024),Frontend Developer,"HTML, CSS, JavaScript bilgisi olan öğrenciler aranmaktadır. En az 2.80 not ortalamasına sahip olmak.",Herhangi
Tech Innovations,Yazılım Testi Stajı (2024),Tester,"Test otomasyon araçlarına aşina olmak, C# ve Java bilmek. En az 3.00 not ortalamasına sahip olmak. 3. sınıf öğrencisi olmak.",Bilgisayar Mühendisliği
Data Insights,Veri Analizi Stajı (2024),Veri Bilimi,Python programlama dillerine hakim olmak. Big Data ve Machine Learning bilmek. İstatistiksel analiz yapabilme yeteneği. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
AppWorks,Mobil Oyun Geliştirme Stajı (2024),Backend Developer,Unity veya Unreal Engine kullanabilme becerisi. Oyun tasarımı konusunda temel bilgi sahibi olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
WebCraft,Back-end Geliştirme Stajı (2024),Frontend Developer,Node.js veya Django gibi back-end teknolojilerine hakim olmak. Temel veritabanı bilgisi. En az 2.80 not ortalamasına sahip olmak.,Bilgisayar Bilimi
FutureTech,Yapay Zeka ve Makine Öğrenimi Stajı (2024),Artificial Intelligence,Derin öğrenme ve genel Machine Learning kavramlarına aşina olmak. Python programlama dili bilgisi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
CodeCraft,Full Stack Web Geliştirme Stajı (2024),Frontend Developer,"HTML, CSS, JavaScript ile front-end ve Node.js veya Django ile back-end geliştirme bilgisi. En az 3.50 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
DataSolutions,Büyük Veri Analitiği Stajı (2024),Artificial Intelligence,"Hadoop, Spark gibi büyük veri teknolojilerine hakim olmak. SQL ve Python bilgisi. En az 3.50 not ortalamasına sahip olmak.",Herhangi
AppTech,Flutter Mobil Uygulama Geliştirme Stajı (2024),Mobile App Developer,Dart programlama dili ve Flutter framework'üne hakim olmak. İleri düzey SQL bilmek. UI/UX tasarımı konusunda temel bilgi sahibi olmak. En az 3.50 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
CloudWare,Bulut Bilişim ve Sistem Yönetimi Stajı (2024),Cloud Mühendisi,"AWS, Azure veya Google Cloud gibi bulut platformlarında deneyim. Linux sistem yönetimi bilgisi. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
SecurityNet,Siber Güvenlik Stajı (2024),Cyber Security,Cybersecurity Tools'larına aşina olmak ve iyi  derecede Python bilmek. Temel Linux bilgisi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
AI Innovations,Robotik ve Otomasyon Stajı (2024),Robotik Kodlama,Matlab bilmek ve FPGA hakim olmak. Circuit design konusunda temel bilgi. En az 3.50 not ortalamasına sahip olmak.,Elektrik-Elektronik Mühendisliği
CodeNest,Blockchain Geliştirme Stajı (2024),Blockchain Developer,Ethereum veya Hyperledger Fabric gibi blockchain platformlarına hakim olmak.Orta düzey Go bilgisi olmak. Akıllı sözleşmelerin geliştirilmesinde deneyim. . En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
DataLab,Biyoinformatik ve Genomik Analiz Stajı (2024),Veri Bilimci,Biyoinformatik araçlarını ve genomik veri analizi yöntemlerini bilmek. Veri analitiği yapabilmek. Python programlama dili bilgisi. En az 2.80 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
CloudTech,Bulut Altyapısı ve Yönetimi Stajı (2024),Cloud Mühendisliği,"Bulut altyapısı tasarlama ve yönetme konusunda deneyim. AWS, Azure veya Google Cloud sertifikalarına sahip olmak tercih sebebidir. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
MobileX,React Native Mobil Uygulama Geliştirme Stajı (2024),Mobile App Developer,React Native framework'üne hakim olmak. Mobil uygulama tasarımı ve geliştirme konusunda deneyim. En az 3.00 not ortalamasına sahip olmak.,Herhangi
AI Solutions,NLP (Doğal Dil İşleme) Stajı (2024),Artificial Intelligence,"Doğal dil işleme tekniklerine ve kütüphanelerine hakim olmak (NLTK, spaCy vb.). Metin sınıflandırma ve duyarlılık analizi gibi NLP görevlerini gerçekleştirebilmek. İleri düzey Python bilmek. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
WebX,Front-end Geliştirme Stajı (2024),Frontend Developer,"Modern front-end teknolojilerine (React, Vue.js gibi) hakim olmak. UI/UX tasarımı konusunda deneyimli. HTML ve CSS ile projeler yapmış olmak. En az 2.80 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
SecureTech,Kriptografi ve Güvenlik Protokolleri Stajı (2024),Cyber Security,"Kriptografi temel prensiplerine ve güvenlik protokollerine hakim olmak. SSL/TLS, IPsec gibi güvenlik protokollerini anlamak.C ve C++ dillerine hakim olmak. SQL bilmek. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
RoboWorks,Otonom Araçlar ve Drone Programlama Stajı (2024),Robotik Kodlama,"Otonom araçlar ve drone'lar için yazılım geliştirme deneyimi (Arduin,C# vb.). Drone kontrol sistemleri konusunda bilgi sahibi olmak. En az 3.00 not ortalamasına sahip olmak.",Elektrik-Elektronik Mühendisliği
DataInsight,Veri Görselleştirme ve Analitik Stajı (2024),Veri Bilimi,"Veri görselleştirme araçlarına hakim olmak (Tableau, Power BI vb.). İleri düzeyde veri analizi yapabilme yeteneği. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
TechTrend,Artırılmış Gerçeklik ve Sanal Gerçeklik Geliştirme Stajı (2024),Software Developer,Unity veya Unreal Engine ile AR/VR uygulamaları geliştirme deneyimi. ARCore veya ARKit gibi platformlara hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
AI Lab,Derin Öğrenme ve Görüntü İşleme Stajı (2024),Artificial Intelligence,"Deep Learning modelleri ve görüntü işleme algoritmalarına hakim olmak. TensorFlow, PyTorch gibi derin öğrenme kütüphanelerini kullanma deneyimi. En az 2.50 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
DevOpsTech,DevOps ve Sürekli Entegrasyon/Sürekli Dağıtım (CI/CD) Stajı (2024),DevOps Mühendisi,"Docker, Kubernetes gibi konteyner teknolojilerine hakim olmak. CI/CD araçlarını (Jenkins, GitLab CI/CD vb.) kullanma deneyimi. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
CyberSquad,Etiğe Dayalı Siber Güvenlik Stajı (2024),Cyber Security,"Siber etik, siber güvenlik yasaları ve Cyber Security Tools hakkında bilgi sahibi olmak. İyi derecede C++ bilmek. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
InnoTech,Endüstri 4.0 ve Nesnelerin İnterneti (IoT) Geliştirme Stajı (2024),IoT,"Nesnelerin interneti (IoT) cihazlarına yazılım geliştirme deneyimi. IoT platformlarına (Arduino, Raspberry Pi vb.) hakim olmak. En az 2.80 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
GameCraft,Oyun Motoru Geliştirme Stajı (2024),Software Developer,Oyun motoru geliştirme deneyimi. OpenGL veya DirectX gibi grafik API'larına hakim olmak. C++ dilinde deneyimli. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
DataForge,Büyük Veri İşleme ve Dağıtık Sistemler Stajı (2024),Veri Bilimi,"Hadoop, Spark veya Flink gibi Big Data işleme araçlarına hakim olmak. Dağıtık sistemler ve paralel programlama konusunda deneyim. En az 2.80 not ortalamasına sahip olmak.",Herhangi
TechHub,Yapay Zeka ve Robotik Mekanik Sistemler Stajı (2024),Machine Learning,Yapay zeka ve robotik sistemlerin entegrasyonu konusunda deneyim. Robotik mekanik sistemlerin tasarımı ve kontrolü. Python dilinde deneyimli. En az 3.00 not ortalamasına sahip olmak.,Elektrik-Elektronik Mühendisliği
QuantumTech,Kuantum Bilgisayar Geliştirme Stajı (2024),Software Developer,Kuantum bilgisayarlar ve kuantum hesaplama konularında temel bilgi. Kuantum programlama dillerine hakim olmak (Q# vb.). En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Bilimi
BuildTech,İnşaat Proje Yönetimi Stajı (2024),Proje Ofisi,İnşaat proje yönetimi süreçlerine hakim olmak. Autocad veya Revit gibi tasarım ve modelleme araçlarını kullanma deneyimi. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
ConstructionWorks,İnşaat Malzeme ve Teknolojileri Stajı (2024),Laboratuvar,İnşaat malzemelerinin özelliklerini ve kullanımını anlamak. Malzeme testleri ve laboratuvar deneyimine sahip olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
StructuralSolutions,Yapısal Mühendislik Stajı (2024),Proje Ofisi,Yapısal analiz ve tasarım konularına hakim olmak. Yapısal mühendislik yazılımlarını kullanabilme becerisi. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
SiteWorks,İnşaat Sahası Yönetimi Stajı (2024),Saha Mühendisliği,İnşaat sahası organizasyonu ve yönetimi konusunda deneyim. İnşaat güvenliği ve iş sağlığı kurallarına hakim olmak. Office programlarını bilmek. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
EnvironmentalBuild,Çevresel İnşaat Mühendisliği Stajı (2024),Saha Mühendisliği,Çevresel etki değerlendirmesi yapabilme yeteneği. Sürdürülebilir inşaat uygulamaları konusunda bilgi sahibi olmak. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
GeotechnicTech,Zemin Mekaniği ve Temel Tasarımı Stajı (2024),Saha Mühendisliği,Zemin mekaniği prensipleri ve temel tasarımı konularında deneyim. Geoteknik mühendislik yazılımlarını kullanabilme becerisi. En az 2.50 not ortalamasına sahip olmak.,İnşaat Mühendisliği
UrbanConstruct,Kentsel Planlama ve İnşaat Stajı (2024),Proje Ofisi,Kentsel planlama ve yapılaşma konularına hakim olmak. Yerel yönetmelikler ve imar planları hakkında bilgi sahibi olmak. AutoCad ve IdeCad programlarına hakim olmak. En az 2.50 not ortalamasına sahip olmak.,İnşaat Mühendisliği
ProjectBuild,İnşaat Proje Denetimi ve Kalite Güvence Stajı (2024),Saha Mühendisliği,İnşaat projelerinde kalite kontrol ve denetim süreçlerine aşina olmak. ISO 9001 ve diğer kalite standartları hakkında bilgi sahibi olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
